Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
ENST00000006777.11,Endoplasmic reticulum,Transmembrane domain,0.09470000118017197,0.1615999937057495,0.07419999688863754,0.3431999981403351,0.1031000018119812,0.1251000016927719,0.756600022315979,0.3564000129699707,0.5029000043869019,0.024399999529123306
ENST00000007510.9,Cytoplasm|Cell membrane,Nuclear localization signal,0.6348000168800354,0.30469998717308044,0.061799999326467514,0.5974000096321106,0.14419999718666077,0.005900000222027302,0.23499999940395355,0.5249999761581421,0.5241000056266785,0.010200000368058681
ENST00000007708.7,Cytoplasm,Nuclear export signal,0.7062000036239624,0.28220000863075256,0.03460000082850456,0.19820000231266022,0.4478999972343445,0.0020000000949949026,0.14350000023841858,0.1428000032901764,0.20239999890327454,0.03779999911785126
ENST00000011684.11,Cytoplasm,Nuclear localization signal|Nuclear export signal,0.7365000247955322,0.30140000581741333,0.1023000031709671,0.5048999786376953,0.12269999831914902,0.011599999852478504,0.17579999566078186,0.30140000581741333,0.27250000834465027,0.062199998646974564
ENST00000013807.9,Nucleus,,0.40779998898506165,0.7973999977111816,0.032099999487400055,0.05090000107884407,0.2565999925136566,0.025299999862909317,0.06260000169277191,0.07720000296831131,0.08799999952316284,0.017799999564886093
ENST00000052754.10,Extracellular,Signal peptide,0.19380000233650208,0.08919999748468399,0.944100022315979,0.320499986410141,0.09960000216960907,0.004000000189989805,0.2167000025510788,0.24379999935626984,0.1899999976158142,0.00139999995008111
ENST00000160262.10,Cell membrane,Signal peptide|Transmembrane domain,0.2433999925851822,0.13220000267028809,0.18440000712871552,0.8808000087738037,0.04740000143647194,0.003599999938160181,0.2840999960899353,0.3946000039577484,0.37299999594688416,0.057500001043081284
ENST00000161559.11,Cell membrane,Signal peptide|Transmembrane domain,0.25040000677108765,0.07880000025033951,0.2930999994277954,0.8694000244140625,0.031700000166893005,0.002899999963119626,0.15369999408721924,0.30790001153945923,0.25270000100135803,0.02669999934732914
ENST00000199320.9,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.6345000267028809,0.6351000070571899,0.029100000858306885,0.1459999978542328,0.33250001072883606,0.011500000022351742,0.18639999628067017,0.16050000488758087,0.29980000853538513,0.004900000058114529
ENST00000215555.7,Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.16859999299049377,0.13349999487400055,0.0284000001847744,0.5491999983787537,0.1395999938249588,0.03629999980330467,0.5623999834060669,0.675000011920929,0.5016999840736389,0.016300000250339508
ENST00000215829.8,Cytoplasm|Nucleus,Nuclear localization signal,0.5533000230789185,0.6776999831199646,0.10909999907016754,0.08209999650716782,0.15950000286102295,0.011900000274181366,0.14319999516010284,0.07289999723434448,0.065700002014637,0.0019000000320374966
ENST00000215917.11,Cytoplasm,,0.6747999787330627,0.4618000090122223,0.14419999718666077,0.05169999971985817,0.24779999256134033,0.0006000000284984708,0.13920000195503235,0.11789999902248383,0.2574000060558319,0.023099999874830246
ENST00000215941.9,Cytoplasm,Nuclear export signal,0.5853999853134155,0.4828999936580658,0.05339999869465828,0.35850000381469727,0.2361000031232834,0.006200000178068876,0.15839999914169312,0.24480000138282776,0.29440000653266907,0.01850000023841858
ENST00000216061.9,Cytoplasm,Nuclear export signal,0.6869999766349792,0.46209999918937683,0.038600001484155655,0.26190000772476196,0.11190000176429749,0.005799999926239252,0.1972000002861023,0.5587000250816345,0.49549999833106995,0.050999999046325684
ENST00000217109.9,Cytoplasm|Nucleus,Nuclear export signal,0.5217999815940857,0.5271999835968018,0.010999999940395355,0.11760000139474869,0.09449999779462814,0.00139999995008111,0.24050000309944153,0.22050000727176666,0.4375999867916107,0.021299999207258224
ENST00000217182.6,Cytoplasm|Nucleus,Nuclear localization signal,0.7224000096321106,0.5389999747276306,0.10610000044107437,0.2304999977350235,0.1589999943971634,0.12620000541210175,0.12880000472068787,0.08049999922513962,0.20509999990463257,0.026499999687075615
ENST00000217961.5,Endoplasmic reticulum,Signal peptide,0.2870999872684479,0.09669999778270721,0.1485999971628189,0.2378000020980835,0.11010000109672546,0.003700000001117587,0.7073000073432922,0.44780001044273376,0.3582000136375427,0.01810000091791153
ENST00000219097.7,Nucleus,Nuclear localization signal,0.1606999933719635,0.9473000168800354,0.023099999874830246,0.03240000084042549,0.12020000070333481,0.032099999487400055,0.018699999898672104,0.007000000216066837,0.014000000432133675,0.01080000028014183
ENST00000219481.10,Peroxisome,Peroxisomal targeting signal,0.25679999589920044,0.14640000462532043,0.03310000151395798,0.13009999692440033,0.34700000286102295,0.024700000882148743,0.03009999915957451,0.08309999853372574,0.17579999566078186,0.9801999926567078
ENST00000220584.9,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.18490000069141388,0.17659999430179596,0.11309999972581863,0.21400000154972076,0.40310001373291016,0.07599999755620956,0.786300003528595,0.22609999775886536,0.44359999895095825,0.24740000069141388
ENST00000222122.10,Nucleus,Nuclear localization signal|Nuclear export signal,0.2896000146865845,0.9193999767303467,0.025599999353289604,0.12020000070333481,0.13740000128746033,0.003700000001117587,0.044199999421834946,0.08640000224113464,0.08190000057220459,0.007300000172108412
ENST00000222305.8,Nucleus,Nuclear localization signal|Nuclear export signal,0.40560001134872437,0.8258000016212463,0.05999999865889549,0.164900004863739,0.12929999828338623,0.002300000051036477,0.0737999975681305,0.19099999964237213,0.14350000023841858,0.00430000014603138
ENST00000222803.10,Endoplasmic reticulum,Signal peptide,0.2280000001192093,0.13120000064373016,0.5349000096321106,0.24969999492168427,0.13079999387264252,0.002099999925121665,0.7903000116348267,0.2393999993801117,0.3091000020503998,0.004900000058114529
ENST00000223061.6,Extracellular,Signal peptide,0.1696999967098236,0.10320000350475311,0.8705000281333923,0.38909998536109924,0.08649999648332596,0.0020000000949949026,0.23880000412464142,0.29409998655319214,0.24969999492168427,0.0020000000949949026
ENST00000223190.8,Nucleus,Nuclear localization signal,0.3481999933719635,0.8948000073432922,0.02160000056028366,0.15569999814033508,0.08009999990463257,0.019899999722838402,0.061000000685453415,0.030899999663233757,0.06560000032186508,0.0038999998942017555
ENST00000223210.5,Nucleus,Nuclear localization signal,0.2734000086784363,0.8111000061035156,0.028599999845027924,0.08489999920129776,0.11460000276565552,0.02759999968111515,0.0997999981045723,0.09839999675750732,0.09790000319480896,0.0066999997943639755
ENST00000223795.3,Cell membrane,Signal peptide|Transmembrane domain,0.15279999375343323,0.0812000036239624,0.25029999017715454,0.7983999848365784,0.01810000091791153,0.0017999999690800905,0.3050000071525574,0.3450999855995178,0.4142000079154968,0.006200000178068876
ENST00000225609.10,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.3070000112056732,0.33059999346733093,0.06689999997615814,0.2524999976158142,0.20090000331401825,0.010700000450015068,0.7494999766349792,0.2021999955177307,0.3255999982357025,0.011800000444054604
ENST00000225916.10,Nucleus,Nuclear export signal,0.43959999084472656,0.8671000003814697,0.032999999821186066,0.12559999525547028,0.1388999968767166,0.008200000040233135,0.13199999928474426,0.13860000669956207,0.1177000030875206,0.015200000256299973
ENST00000226105.11,Cytoplasm|Nucleus|Lysosome/Vacuole,Nuclear export signal,0.5760999917984009,0.7310000061988831,0.06469999998807907,0.18170000612735748,0.20229999721050262,0.009600000455975533,0.2980000078678131,0.5913000106811523,0.3018999993801117,0.10760000348091125
ENST00000226253.9,Cytoplasm,Nuclear export signal,0.8206999897956848,0.2660999894142151,0.23800000548362732,0.42260000109672546,0.3192000091075897,0.042399998754262924,0.15320000052452087,0.15719999372959137,0.1753000020980835,0.05380000174045563
ENST00000227135.7,Cytoplasm,,0.7853000164031982,0.3107999861240387,0.179299995303154,0.17010000348091125,0.21469999849796295,0.0017999999690800905,0.13269999623298645,0.11389999836683273,0.2732999920845032,0.010900000110268593
ENST00000227349.7,Cytoplasm,Nuclear localization signal,0.8561000227928162,0.3310000002384186,0.04039999842643738,0.23000000417232513,0.10790000110864639,0.007600000128149986,0.11320000141859055,0.17100000381469727,0.19589999318122864,0.04010000079870224
ENST00000228705.7,Cytoplasm,Nuclear export signal,0.6376000046730042,0.47450000047683716,0.026599999517202377,0.5526999831199646,0.32589998841285706,0.015399999916553497,0.32749998569488525,0.3027999997138977,0.573199987411499,0.026200000196695328
ENST00000231004.5,Extracellular,Signal peptide,0.25519999861717224,0.15039999783039093,0.9146999716758728,0.32339999079704285,0.09610000252723694,0.0032999999821186066,0.30469998717308044,0.2531000077724457,0.3127000033855438,0.0024999999441206455
ENST00000231198.12,Cytoplasm,Mitochondrial transit peptide,0.49070000648498535,0.38659998774528503,0.33149999380111694,0.09139999747276306,0.6126999855041504,0.07509999722242355,0.3287000060081482,0.09780000150203705,0.24500000476837158,0.09560000151395798
ENST00000231751.9,Extracellular,Signal peptide,0.18279999494552612,0.06960000097751617,0.7516999840736389,0.28369998931884766,0.050200000405311584,0.002300000051036477,0.3176000118255615,0.5223000049591064,0.1873999983072281,0.0038999998942017555
ENST00000232458.9,Cytoplasm|Nucleus,Nuclear localization signal,0.559499979019165,0.5853000283241272,0.031199999153614044,0.3709999918937683,0.09960000216960907,0.04039999842643738,0.07779999822378159,0.21969999372959137,0.17319999635219574,0.015799999237060547
ENST00000232974.11,Nucleus,Nuclear localization signal,0.2973000109195709,0.9190000295639038,0.028999999165534973,0.0689999982714653,0.03700000047683716,0.004800000227987766,0.03229999914765358,0.02810000069439411,0.03229999914765358,0.0066999997943639755
ENST00000234256.4,Cell membrane,Transmembrane domain,0.11069999635219574,0.08110000193119049,0.05339999869465828,0.84579998254776,0.25540000200271606,0.005499999970197678,0.21469999849796295,0.36719998717308044,0.18440000712871552,0.039900001138448715
ENST00000235310.7,Cytoplasm,Nuclear export signal,0.6934000253677368,0.478300005197525,0.03799999877810478,0.12349999696016312,0.2867000102996826,0.00860000029206276,0.1981000006198883,0.45179998874664307,0.33160001039505005,0.04859999939799309
ENST00000238892.4,Cytoplasm|Nucleus,Nuclear export signal,0.5019999742507935,0.7339000105857849,0.021400000900030136,0.06909999996423721,0.2797999978065491,0.014100000262260437,0.13369999825954437,0.0940999984741211,0.13519999384880066,0.006500000134110451
ENST00000238936.8,Cell membrane,Transmembrane domain,0.14980000257492065,0.11400000005960464,0.10559999942779541,0.6065999865531921,0.2574999928474426,0.006300000008195639,0.5044999718666077,0.46549999713897705,0.39559999108314514,0.19760000705718994
ENST00000242591.10,Cytoplasm,Nuclear export signal,0.5565000176429749,0.4580000042915344,0.05139999836683273,0.13699999451637268,0.07689999788999557,0.014999999664723873,0.19359999895095825,0.3898000121116638,0.30059999227523804,0.029600000008940697
ENST00000242729.7,Cell membrane,Transmembrane domain,0.15690000355243683,0.10010000318288803,0.10100000351667404,0.854200005531311,0.04899999871850014,0.006099999882280827,0.30140000581741333,0.5519000291824341,0.5048999786376953,0.01640000008046627
